Year;PriceIndex;InflationRate
1971;100,6;0,6
1972;100;0
1973;100,7;0,7
1974;101,1;1,1
1975;100,2;0,2
1976;100,6;0,6
1977;100,6;0,6
1978;101,6;1,6
1979;102;2
1980;102,1;2,1
1981;103,1;3,1
1982;117,8;17,8
1983;104,1;4,1
1984;101,1;1,1
1985;100,8;0,8
1986;101;1
1987;100,9;0,9
1988;102,2;2,2
1989;101,1;1,1
1990;105,1;5,1
1991;270,2;170,2
1992;310,4;210,4
1993;356,1;256,1
1994;236,7;136,7
1995;132,3;32,3
1996;138,8;38,8
1997;254,8;154,8
1998;159,1;59,1
1999;145,8;45,8
2000;145,7;45,7
2001;134,5;34,5
2002;122,5;22,5
2003;115,3;15,3
2004;111,9;11,9
2005;109;9
2006;106,56;6,6
2007;104,84;4,8
2008;107,85;7,9
2009;105,59;5,6
2010;106,09;6,1
2011;105,79;5,8
2012;103,33;3,3
2013;103,98;4
2014;101,07;1,1
2015;99,41;-0,6
2016;98,45;-1,5
2017;101,34;1,3
2018;104,63;4,6
2019;103,83;3,8
2020;102,63;2,6
2021;105,05;5,1
